PopulationSize nGen x(1) x(2)   

30     5 4.354435e-01 -2.954359e-01
   50     5 1.056814e-01 -5.601774e-01
   70     5 2.346336e-01 -5.257506e-01
   90     5 -2.535848e-01 -7.374511e-01
  110     5 4.114867e-02 -6.697902e-01

tournamentSize ptour
    4 7.000000e-01 5.595226e-02 -7.397730e-01
    4 8.000000e-01 1.631194e-01 -7.656179e-01
    4 9.000000e-01 1.261049e-01 -6.393645e-01

    4 7.000000e-01 1.755594e-01 -7.104337e-01
    4 8.000000e-01 1.757336e-01 -6.608897e-01
    4 9.000000e-01 -1.685464e-01 -8.625431e-01

    2 7.000000e-01 1.108319e-01 -7.389953e-01
    2 8.000000e-01 9.218656e-02 -8.770756e-01
    2 9.000000e-01 1.203381e-01 -8.595264e-01
